City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Vaini,TO,-21.2,-175.2,73.56,94,100,10.36,moderate rain
1,Barrow,US,71.2906,-156.7887,6.82,78,100,16.11,overcast clouds
2,Aklavik,CA,68.2191,-135.0107,-0.26,98,100,0.85,light snow
3,Cape Town,ZA,-33.9258,18.4232,72.37,79,9,7.0,clear sky
4,Arraial Do Cabo,BR,-22.9661,-42.0278,75.18,86,100,3.69,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,42.46,87,0,5.75,light rain
6,Broome,US,42.2506,-75.833,17.02,88,0,9.22,clear sky
7,Lakeside,US,30.13,-81.7682,64.45,85,75,10.36,broken clouds
8,Yokadouma,CM,3.5167,15.05,75.45,58,100,2.68,overcast clouds
9,Vaitape,PF,-16.5167,-151.75,78.93,73,100,18.7,overcast clouds
10,Hobart,AU,-42.8794,147.3294,51.26,93,100,13.8,moderate rain
11,Bambous Virieux,MU,-20.3428,57.7575,83.21,65,40,11.5,scattered clouds
12,Mar Del Plata,AR,-38.0023,-57.5575,56.12,81,0,5.75,clear sky
13,Sharkan,RU,57.2989,53.8712,10.58,89,12,9.08,few clouds
14,Puerto Ayora,EC,-0.7393,-90.3518,68.56,96,75,1.99,broken clouds
15,Nuevo Progreso,MX,23.1667,-97.95,72.54,77,76,1.01,broken clouds
16,Albany,US,42.6001,-73.9662,19.58,79,5,3.91,clear sky
17,Lillooet,CA,50.6856,-121.942,17.96,91,94,0.83,overcast clouds
18,Boda,CF,4.3189,17.4695,74.88,40,100,0.07,overcast clouds
19,Bredasdorp,ZA,-34.5322,20.0403,76.84,61,0,5.86,clear sky
20,Jizan,SA,17.3333,42.6667,83.34,65,1,4.27,clear sky
21,Malatya,TR,38.5,38.0,39.25,100,100,4.61,mist
22,Fukue,JP,32.6881,128.8419,53.96,54,75,9.22,broken clouds
23,Hermanus,ZA,-34.4187,19.2345,74.8,77,0,6.29,clear sky
24,Tasiilaq,GL,65.6145,-37.6368,26.76,73,12,6.04,few clouds
25,Kapaa,US,22.0752,-159.319,75.52,86,40,21.85,light rain
26,Iqaluit,CA,63.7506,-68.5145,6.53,84,75,3.44,broken clouds
27,Rikitea,PF,-23.1203,-134.9692,75.24,80,4,23.26,clear sky
28,Codrington,AU,-38.2667,141.9667,54.57,57,91,24.81,overcast clouds
29,Saint George,US,37.1041,-113.5841,36.19,84,75,4.0,broken clouds
30,Ixtapa,MX,20.7,-105.2,65.59,72,7,2.89,clear sky
31,Mataura,NZ,-46.1927,168.8643,63.48,61,100,5.26,overcast clouds
32,Filadelfia,US,39.9523,-75.1638,31.05,78,0,11.5,clear sky
33,Busselton,AU,-33.65,115.3333,78.76,36,62,5.14,broken clouds
34,Qaanaaq,GL,77.484,-69.3632,0.34,67,100,4.88,overcast clouds
35,Ostrovnoy,RU,68.0531,39.5131,20.28,81,100,17.9,overcast clouds
36,North Bend,US,43.4065,-124.2243,38.91,99,100,8.05,overcast clouds
37,Jamestown,US,42.097,-79.2353,26.02,67,100,5.99,overcast clouds
38,Punta Arenas,CL,-53.15,-70.9167,44.71,76,20,35.68,few clouds
39,Leningradskiy,RU,69.3833,178.4167,-5.01,75,100,27.2,overcast clouds
40,Bentiu,SS,9.2333,29.8333,85.86,15,0,7.31,clear sky
41,Pisco,PE,-13.7,-76.2167,69.85,88,100,4.61,mist
42,Namatanai,PG,-3.6667,152.4333,82.44,77,98,5.3,light rain
43,Port Alfred,ZA,-33.5906,26.891,77.45,74,100,21.03,overcast clouds
44,Tulsipur,NP,28.131,82.2973,74.75,24,0,5.32,clear sky
45,The Valley,AI,18.217,-63.0578,76.1,59,28,4.5,scattered clouds
46,Nanyuki,KE,0.0167,37.0728,65.25,69,77,3.27,light rain
47,Coquimbo,CL,-29.9533,-71.3436,60.53,94,0,4.61,clear sky
48,Thompson,CA,55.7435,-97.8558,24.96,93,100,3.44,light snow
49,Talnakh,RU,69.4865,88.3972,-14.8,96,100,10.18,overcast clouds
50,Ilulissat,GL,69.2167,-51.1,0.3,74,100,5.5,overcast clouds
51,Cabo San Lucas,MX,22.8909,-109.9124,71.51,70,61,1.01,broken clouds
52,Coxim,BR,-18.5067,-54.76,76.3,67,97,2.64,overcast clouds
53,Mabaruma,GY,8.2,-59.7833,70.38,100,48,1.54,scattered clouds
54,New Norfolk,AU,-42.7826,147.0587,51.93,73,100,1.01,light rain
55,Autun,FR,46.95,4.3,25.45,67,100,2.66,overcast clouds
56,Ornskoldsvik,SE,63.2909,18.7153,11.35,79,0,14.97,clear sky
57,Yanam,IN,16.7333,82.2167,84.24,64,43,6.85,scattered clouds
58,Ipora,BR,-16.4419,-51.1178,68.86,90,100,1.41,overcast clouds
59,Sabha,LY,27.0377,14.4283,65.1,39,0,3.94,clear sky
60,Linden,GY,6.0,-58.3,71.04,99,89,1.9,overcast clouds
61,Hilo,US,19.7297,-155.09,73.27,86,100,6.91,overcast clouds
62,Yulara,AU,-25.2406,130.9889,91.35,16,100,3.47,overcast clouds
63,Caraguatatuba,BR,-23.6338,-45.4899,74.66,97,100,4.18,light rain
64,Uvira,CD,-3.4067,29.1458,75.56,80,91,3.62,light rain
65,Lebu,CL,-37.6167,-73.65,55.8,88,0,17.56,clear sky
66,Castro,BR,-24.7911,-50.0119,65.8,95,100,6.02,moderate rain
67,Ixtahuacan,GT,15.4167,-91.7667,57.38,95,100,3.44,overcast clouds
68,Karla,EE,59.3723,24.9275,20.57,88,40,4.61,scattered clouds
69,Faya,SA,18.3851,42.4509,62.71,43,0,3.15,clear sky
70,Cayenne,GF,4.9333,-52.3333,73.44,94,40,0.0,scattered clouds
71,Sudzha,RU,51.1976,35.2726,32.41,79,100,2.42,overcast clouds
72,Ribeira Grande,PT,38.5167,-28.7,61.2,82,40,24.16,light rain
73,Avera,US,33.194,-82.5271,51.31,72,100,9.53,overcast clouds
74,Bara,NG,10.3744,10.7288,70.81,21,17,6.64,few clouds
75,Vila Do Maio,CV,15.1333,-23.2167,75.99,79,5,12.48,clear sky
76,Te Anau,NZ,-45.4167,167.7167,61.16,57,100,5.41,overcast clouds
77,Hofn,IS,64.2539,-15.2082,28.92,66,0,16.87,clear sky
78,Bluff,NZ,-46.6,168.3333,63.81,81,100,6.26,overcast clouds
79,Takoradi,GH,4.8845,-1.7554,77.95,85,0,4.88,light rain
80,Mantua,IT,45.1667,10.7833,34.99,92,100,1.99,overcast clouds
81,Bure,ET,10.7,37.0667,71.28,42,2,2.19,clear sky
82,Bestobe,KZ,52.4994,73.0975,22.35,81,100,13.44,overcast clouds
83,Hovd,MN,48.0056,91.6419,3.15,72,100,2.73,overcast clouds
84,Dicabisagan,PH,17.0818,122.4157,77.54,89,100,7.07,overcast clouds
85,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.43,93,100,11.41,overcast clouds
86,Saskylakh,RU,71.9167,114.0833,7.32,94,100,12.91,light snow
87,Neuquen,AR,-38.9516,-68.0591,62.49,59,0,8.05,clear sky
88,Butaritari,KI,3.0707,172.7902,81.5,78,92,11.27,light rain
89,Muncar,ID,-8.4333,114.3333,86.09,68,67,4.9,broken clouds
90,Myitkyina,MM,25.3833,97.4,82.2,33,0,0.67,clear sky
91,Fallon,US,39.4735,-118.7774,33.93,75,100,0.0,overcast clouds
92,Katsuura,JP,35.1333,140.3,50.02,86,100,9.31,overcast clouds
93,Mwinilunga,ZM,-11.7358,24.4293,68.32,84,27,5.84,light rain
94,Yibin,CN,28.7667,104.6238,46.29,81,100,3.85,overcast clouds
95,Tomari,RU,47.7658,142.0683,35.83,92,100,20.04,moderate rain
96,Shenzhen,CN,22.5455,114.0683,62.22,80,94,8.72,overcast clouds
97,Freeport,US,40.6576,-73.5832,30.78,75,0,14.97,clear sky
98,Ponta Do Sol,PT,32.6667,-17.1,75.0,94,98,18.68,moderate rain
99,Tiznit,MA,29.5833,-9.5,60.39,72,7,1.57,clear sky
100,Shingu,JP,33.7333,135.9833,55.13,56,6,6.85,clear sky
101,Hithadhoo,MV,-0.6,73.0833,81.79,75,99,13.89,overcast clouds
102,Khatanga,RU,71.9667,102.5,-1.44,89,100,17.49,overcast clouds
103,Floro,NO,61.5996,5.0328,21.96,68,0,6.91,clear sky
104,Mandera,KE,3.9366,41.867,85.23,35,0,13.49,clear sky
105,Port Elizabeth,ZA,-33.918,25.5701,88.11,69,0,5.75,clear sky
106,Manggar,ID,-2.8833,108.2667,86.45,63,100,13.96,overcast clouds
107,Mahebourg,MU,-20.4081,57.7,83.25,65,40,11.5,scattered clouds
108,Cherskiy,RU,68.75,161.3,-33.84,99,100,12.46,overcast clouds
109,Grand Gaube,MU,-20.0064,57.6608,83.37,59,73,10.0,broken clouds
110,East London,ZA,-33.0153,27.9116,77.94,78,0,13.8,clear sky
111,Yining,CN,29.0361,114.5636,56.71,22,0,5.23,clear sky
112,Phatthalung,TH,7.5,100.0833,81.28,78,37,15.21,scattered clouds
113,Scarborough,GB,54.2797,-0.4044,30.9,91,100,5.86,overcast clouds
114,Najran,SA,17.4924,44.1277,66.85,39,0,2.89,clear sky
115,Upington,ZA,-28.4478,21.2561,79.18,53,40,2.3,scattered clouds
116,Abu Samrah,SY,35.3029,37.1841,54.64,75,99,6.82,overcast clouds
117,Chokurdakh,RU,70.6333,147.9167,-19.28,98,100,9.95,overcast clouds
118,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,77,20,23.29,few clouds
119,Marsabit,KE,2.3284,37.9899,70.66,62,5,17.74,clear sky
120,Torbay,CA,47.6666,-52.7314,36.27,96,100,13.8,light intensity drizzle
121,Jalingo,NG,8.8833,11.3667,78.12,22,97,2.17,overcast clouds
122,Cidreira,BR,-30.1811,-50.2056,62.8,75,58,7.96,broken clouds
123,Ambanja,MG,-13.6833,48.45,87.01,59,19,3.44,few clouds
124,Vardo,NO,70.3705,31.1107,12.18,92,21,10.36,few clouds
125,Pevek,RU,69.7008,170.3133,-12.68,94,100,21.9,light snow
126,Wajima,JP,37.4,136.9,48.88,81,75,17.27,broken clouds
127,Goderich,CA,43.7501,-81.7165,25.12,74,6,6.91,clear sky
128,Tiffin,US,41.1145,-83.178,34.95,79,60,6.55,broken clouds
129,Berdigestyakh,RU,62.0989,126.6992,-31.04,99,100,2.77,overcast clouds
130,Yar-Sale,RU,66.8333,70.8333,-15.63,92,6,9.64,clear sky
131,Isangel,VU,-19.55,169.2667,78.98,70,29,12.62,scattered clouds
132,Arman,RU,59.7,150.1667,-23.98,84,5,8.43,clear sky
133,Howard Springs,AU,-12.497,131.047,76.91,59,85,8.34,moderate rain
134,Provideniya,RU,64.3833,-173.3,7.09,84,68,8.95,broken clouds
135,Puerto Escondido,MX,15.85,-97.0667,75.43,80,15,4.27,few clouds
136,Pouembout,NC,-21.1333,164.9,79.18,69,18,8.57,few clouds
137,Upernavik,GL,72.7868,-56.1549,17.44,95,100,11.65,light snow
138,Burnie,AU,-41.0667,145.9167,46.94,77,100,13.6,light rain
139,Carnarvon,AU,-24.8667,113.6333,76.24,66,0,17.34,clear sky
140,Cairns,AU,-16.9167,145.7667,85.1,74,75,4.61,broken clouds
141,Dikson,RU,73.5069,80.5464,-3.06,94,100,12.39,overcast clouds
142,Jishou,CN,28.3167,109.7167,57.15,23,0,9.15,clear sky
143,Makakilo City,US,21.3469,-158.0858,73.72,73,75,12.66,broken clouds
144,Havoysund,NO,70.9963,24.6622,21.43,71,82,7.05,broken clouds
145,Ucluelet,CA,48.9329,-125.5528,38.95,83,45,3.13,scattered clouds
146,Qaqortoq,GL,60.7167,-46.0333,12.74,65,7,7.85,clear sky
147,Chuy,UY,-33.6971,-53.4616,55.85,81,0,7.25,clear sky
148,Porto Belo,BR,-27.1578,-48.5531,70.16,88,88,15.93,overcast clouds
149,Nassau,US,40.7507,-73.5829,30.45,74,0,5.75,clear sky
150,Eyrarbakki,IS,63.863,-21.1481,23.05,57,15,12.06,few clouds
151,Avarua,CK,-21.2078,-159.775,73.45,78,15,4.61,few clouds
152,Olafsvik,IS,64.8945,-23.7142,33.01,73,76,17.09,broken clouds
153,Selizharovo,RU,56.8519,33.4487,18.75,94,100,8.72,overcast clouds
154,Buin,CL,-33.7333,-70.75,74.73,32,0,3.22,clear sky
155,Hitoyoshi,JP,32.2167,130.75,53.42,64,8,9.93,clear sky
156,Georgetown,MY,5.4112,100.3354,86.9,79,40,8.05,scattered clouds
157,Boditi,ET,6.9667,37.8667,67.93,40,6,5.75,clear sky
158,Port Antonio,JM,18.18,-76.4612,76.91,83,0,2.68,clear sky
159,Iralaya,HN,15.0,-83.2333,75.42,81,7,5.64,clear sky
160,Gravdal,NO,68.1214,13.5031,28.29,80,75,10.36,broken clouds
161,Karratha,AU,-20.7377,116.8463,100.67,24,1,21.21,clear sky
162,Kualakapuas,ID,-3.0091,114.3876,80.47,87,100,1.83,light rain
163,Pitimbu,BR,-7.4706,-34.8086,75.79,79,57,6.51,broken clouds
164,Bathsheba,BB,13.2167,-59.5167,79.05,89,75,8.05,broken clouds
165,Rabo De Peixe,PT,37.8,-25.5833,60.31,100,20,24.16,very heavy rain
166,Poya,NC,-21.35,165.15,78.89,68,12,9.44,few clouds
167,Bhinmal,IN,25.0,72.25,82.87,29,0,11.72,clear sky
168,Annau,TM,37.8876,58.516,38.7,65,40,6.91,scattered clouds
169,Henties Bay,NA,-22.116,14.2845,62.8,83,78,5.37,broken clouds
170,Vostok,RU,46.4856,135.8833,8.58,95,100,9.55,light snow
171,Vung Tau,VN,10.346,107.0843,79.12,67,65,5.28,broken clouds
172,Saint-Philippe,RE,-21.3585,55.7679,83.79,81,49,11.74,light rain
173,Sobolevo,RU,54.4299,31.8996,24.78,93,96,11.68,overcast clouds
174,Ereymentau,KZ,51.6199,73.1033,14.67,84,100,14.52,overcast clouds
175,Gazanjyk,TM,39.2446,55.5154,46.11,44,100,10.69,overcast clouds
176,Los Andes,CL,-32.8337,-70.5983,63.01,28,0,1.7,clear sky
177,Havre-Saint-Pierre,CA,50.2334,-63.5986,10.4,85,100,12.66,light snow
178,Saint-Francois,FR,46.4154,3.9054,27.84,86,100,6.91,overcast clouds
179,Alofi,NU,-19.0595,-169.9187,75.09,73,93,5.75,overcast clouds
180,Kirkwall,GB,58.9848,-2.9587,37.45,60,20,21.85,few clouds
181,Yellowknife,CA,62.456,-114.3525,-1.44,78,75,19.57,broken clouds
182,Tautira,PF,-17.7333,-149.15,76.05,75,100,3.8,overcast clouds
183,Kirakira,SB,-10.4544,161.9205,81.48,80,25,2.01,scattered clouds
184,Husavik,IS,66.0449,-17.3389,23.68,80,100,6.13,light snow
185,Norman Wells,CA,65.282,-126.8329,-2.16,78,100,3.44,light snow
186,Cockburn Town,TC,21.4612,-71.1419,76.01,65,0,5.59,clear sky
187,Akyab,MM,20.15,92.9,81.07,44,0,7.09,clear sky
188,Sur,OM,22.5667,59.5289,77.59,51,0,11.65,clear sky
189,Lasa,IT,46.6166,10.7002,23.88,70,63,2.35,broken clouds
190,Mogadishu,SO,2.0371,45.3438,84.07,74,20,19.57,few clouds
191,Kununurra,AU,-15.7667,128.7333,98.58,36,98,8.05,overcast clouds
192,Lakatoro,VU,-16.0999,167.4164,82.78,73,56,9.37,broken clouds
193,Kodiak,US,57.79,-152.4072,31.51,59,100,4.61,overcast clouds
194,Ponta Delgada,PT,37.7333,-25.6667,61.52,82,20,24.16,very heavy rain
195,Fortuna,US,40.5982,-124.1573,39.92,96,100,8.05,overcast clouds
196,Alice Springs,AU,-23.7,133.8833,87.35,13,38,8.05,scattered clouds
197,Svetlogorsk,BY,52.6333,29.7333,23.16,95,98,7.74,overcast clouds
198,Kambove,CD,-10.8764,26.5969,67.51,85,71,4.07,broken clouds
199,Alihe,CN,50.5667,123.7167,1.02,85,100,8.95,overcast clouds
200,Agirish,RU,61.9247,63.0231,-11.74,97,100,3.27,overcast clouds
201,Puerto Leguizamo,CO,-0.1934,-74.7819,73.53,90,100,2.46,overcast clouds
202,Natchitoches,US,31.7668,-93.1335,59.85,100,100,6.91,overcast clouds
203,San Quintin,MX,30.4833,-115.95,56.17,67,83,9.75,broken clouds
204,Vestmannaeyjar,IS,63.4427,-20.2734,31.05,66,10,3.56,clear sky
205,Kahului,US,20.8947,-156.47,75.85,86,20,13.8,light rain
206,Narsaq,GL,60.9167,-46.05,16.02,61,8,8.28,clear sky
207,Jalu,LY,29.0331,21.5482,66.04,35,0,6.13,clear sky
208,Mount Gambier,AU,-37.8333,140.7667,53.26,63,76,15.05,broken clouds
209,Flinders,AU,-34.5833,150.8552,79.05,53,2,5.99,clear sky
210,Oktyabrskoye,RU,43.0645,44.7417,28.54,100,100,4.47,fog
211,Saint-Joseph,RE,-21.3667,55.6167,82.78,78,39,10.63,light rain
212,Atuona,PF,-9.8,-139.0333,77.61,81,18,19.71,light rain
213,Nyagan,RU,62.1406,65.3936,-13.4,98,15,0.49,few clouds
214,Jaboticabal,BR,-21.2547,-48.3222,68.38,97,99,4.25,light rain
215,Severo-Kurilsk,RU,50.6789,156.125,25.74,69,100,7.94,overcast clouds
216,Nakusp,CA,50.2499,-117.8023,30.54,80,99,3.44,overcast clouds
217,Wairoa,NZ,-39.0333,177.3667,66.54,95,60,4.0,broken clouds
218,Saryg-Sep,RU,51.5,95.6,-3.42,77,100,1.77,overcast clouds
219,Langsa,ID,4.4683,97.9683,77.59,92,100,2.62,overcast clouds
220,Faanui,PF,-16.4833,-151.75,79.12,70,100,15.99,overcast clouds
221,Kavaratti,IN,10.5669,72.642,80.13,80,100,17.2,light rain
222,San Carlos,VE,9.6612,-68.5827,73.22,83,92,3.02,overcast clouds
223,Deming,US,32.2687,-107.7586,35.49,80,100,8.05,overcast clouds
224,Bonnyville,CA,54.2668,-110.735,4.8,99,47,3.58,scattered clouds
225,Saint Anthony,US,45.0205,-93.218,36.12,81,100,18.41,overcast clouds
